Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,32,2020-01-06,20-312,DAL,,CHI,W (+8),1,34:22,14,24,.583,5,10,.500,5,9,.556,1,10,11,10,0,1,3,2,38,32.8,+8
37,33,2020-01-08,20-314,DAL,,DEN,L (-1),1,37:18,11,24,.458,1,7,.143,4,6,.667,2,7,9,10,0,0,6,2,27,17.5,+7
38,34,2020-01-10,20-316,DAL,,LAL,L (-15),1,32:04,8,19,.421,1,5,.200,8,13,.615,2,8,10,7,0,0,6,3,25,14.4,-13
39,35,2020-01-11,20-317,DAL,,PHI,W (+18),1,32:57,4,15,.267,1,3,.333,10,12,.833,1,7,8,12,0,0,5,3,19,14.3,+18
40,36,2020-01-14,20-320,DAL,@,GSW,W (+27),1,27:01,8,19,.421,2,9,.222,2,8,.250,1,7,8,2,1,0,3,3,20,8.5,+13
41,37,2020-01-15,20-321,DAL,@,SAC,W (+4),1,34:07,8,18,.444,0,5,.000,9,10,.900,0,15,15,17,0,0,6,3,25,24.4,+9
42,38,2020-01-17,20-323,DAL,,POR,W (+8),1,34:00,11,23,.478,8,12,.667,5,8,.625,2,6,8,7,1,0,3,2,35,27.4,+6
43,39,2020-01-21,20-327,DAL,,LAC,L (-3),1,35:11,12,26,.462,3,12,.250,9,14,.643,2,8,10,9,0,2,4,3,36,26.9,-6
44,40,2020-01-23,20-329,DAL,@,POR,W (+8),1,34:40,11,25,.440,2,11,.182,3,6,.500,1,5,6,9,2,0,3,4,27,18.6,+1
45,41,2020-01-25,20-331,DAL,@,UTA,L (-5),1,36:19,11,25,.440,2,10,.200,1,5,.200,0,6,6,7,2,0,4,2,25,14.2,0
46,42,2020-01-27,20-333,DAL,@,OKC,W (+10),1,33:16,10,24,.417,5,12,.417,4,7,.571,2,9,11,5,0,0,0,2,29,21.8,0
47,43,2020-01-28,20-334,DAL,,PHO,L (-29),1,25:15,7,15,.467,1,4,.250,6,7,.857,1,5,6,2,1,0,4,2,21,12.7,-26
48,,2020-01-31,20-337,DAL,@,HOU,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2020-02-01,20-338,DAL,,ATL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2020-02-03,20-340,DAL,@,IND,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
